Woher kommst du (fem);مِن أينَ أنتِ
Willkommen;مَرحَباً
Willkommen gleichfalls (fem);مَرحَباً بِكِ
wo;أينَ
du (mask);أنتَ
Muhammad;مُحَمَّد
Deutschland;ألمانيا
Wie heißt du? (fem);ما إسمُكِ
und;وَ
du (fem);أنتِ
Ich komme aus;أنا مِن
Samira;سَميرة
Woher kommst du (mask);مِن أينَ أنتَ
Was?;ما
von, aus;مِن
Gut;بِخَير
Willkommen gleichfalls (mask);مَرحَباً بِكَ
woher;مِن أينَ
Wie geht es dir? (fem);كَيفَ حالُكِ
Ich heiße;إسمي
Wie geht es dir? (mask);كَيفَ حالُكَ
Wie heißt du? (mask);ما إسمُكَ
Libanon;لُبنان
ich;انا
